age,job,marital,balance,accepted_offer
59,admin,divorced,31549,1
49,management,married,36631,0
35,technician,single,42444,0
63,admin,divorced,49729,1
28,management,married,7927,0
41,blue-collar,divorced,40848,0
59,technician,single,23785,1
39,blue-collar,single,37126,0
43,blue-collar,single,42308,0
31,management,divorced,22428,0
31,admin,divorced,18698,0
44,management,single,19258,0
56,management,divorced,14754,0
60,management,single,43738,1
44,management,single,752,0
23,technician,married,39264,0
42,admin,divorced,11673,0
22,blue-collar,single,36941,0
44,blue-collar,single,26198,0
64,admin,divorced,15281,0
50,blue-collar,married,12551,0
58,admin,married,39149,0
22,blue-collar,single,6449,1
41,management,divorced,41789,0
53,blue-collar,married,7517,0
32,admin,divorced,6441,0
42,admin,divorced,25434,0
64,admin,single,22886,0
45,admin,married,9709,0
69,admin,single,17215,0
47,technician,married,28420,0
62,technician,married,31203,0
48,blue-collar,married,41818,0
36,admin,married,4137,0
35,blue-collar,married,4354,0
67,admin,divorced,42588,0
64,admin,single,37160,0
23,technician,divorced,39311,0
57,technician,married,48789,0
27,management,single,19356,0
41,technician,married,21333,1
29,management,single,19463,0
59,management,divorced,36432,0
38,management,single,26669,0
24,management,single,7441,1
45,management,single,13888,0
34,blue-collar,single,5069,0
29,technician,single,3800,0
46,management,married,38537,0
22,admin,single,36086,0
40,technician,single,11515,1
48,technician,divorced,44502,1
67,management,single,5754,0
27,blue-collar,divorced,16644,0
64,management,married,23714,1
28,blue-collar,single,39618,0
67,admin,divorced,14683,0
55,technician,divorced,5738,0
34,admin,married,5590,0
37,blue-collar,single,11137,0
56,blue-collar,single,21915,0
60,admin,divorced,23571,1
24,blue-collar,single,44915,1
22,admin,divorced,42179,0
26,technician,single,40740,0
62,admin,divorced,17771,1
24,technician,single,35534,0
49,admin,married,32934,0
38,blue-collar,single,3688,1
46,admin,single,49323,1
64,blue-collar,married,9661,0
54,admin,single,28232,0
30,admin,married,10814,0
56,management,single,23454,0
34,blue-collar,divorced,21008,0
51,management,divorced,21469,0
68,blue-collar,single,45159,0
35,management,single,37045,0
28,technician,single,36168,0
34,admin,divorced,22561,0
43,blue-collar,single,13216,1
60,blue-collar,divorced,39249,0
41,admin,married,38644,0
36,blue-collar,divorced,16407,0
65,blue-collar,divorced,18277,0
38,management,married,27193,0
67,blue-collar,divorced,42428,0
44,technician,single,25829,0
46,technician,single,46392,0
45,admin,divorced,15782,0
65,blue-collar,single,23124,0
61,admin,divorced,22821,1
49,technician,single,9988,0
35,blue-collar,single,22074,0
65,blue-collar,divorced,4740,0
21,admin,single,42721,0
45,technician,divorced,9978,0
27,blue-collar,single,44662,0
29,admin,single,18762,1
44,technician,married,3932,0
21,admin,married,29221,0
64,management,divorced,13068,0
28,blue-collar,married,13678,1
44,management,divorced,49928,0
31,technician,married,21695,0
37,management,single,-198,0
28,management,divorced,16522,0
55,technician,divorced,-445,0
55,admin,single,45281,1
53,management,divorced,8217,0
25,admin,divorced,28199,0
62,management,married,7650,0
59,admin,divorced,1625,0
61,technician,single,43747,0
48,management,married,48013,0
27,technician,married,16248,0
29,management,single,39077,0
28,technician,single,4121,0
32,technician,married,14534,0
